time: 2021-03-11 17:43:52.260121        x1: -0.576    y1: 0.112    z1: -0.832
time: 2021-03-11 17:43:52.260121        x2: 0.288    y2: 0.48    z2: -0.848
time: 2021-03-11 17:43:52.650311        x1: -0.576    y1: 0.112    z1: -0.848
time: 2021-03-11 17:43:52.650311        x2: 0.304    y2: 0.48    z2: -0.864
time: 2021-03-11 17:43:53.040375        x1: -0.576    y1: 0.112    z1: -0.832
time: 2021-03-11 17:43:53.040375        x2: 0.304    y2: 0.48    z2: -0.864
time: 2021-03-11 17:43:53.381041        x1: -0.592    y1: 0.112    z1: -0.832
time: 2021-03-11 17:43:53.381041        x2: 0.32    y2: 0.48    z2: -0.848
time: 2021-03-11 17:43:53.722430        x1: -0.576    y1: 0.112    z1: -0.832
time: 2021-03-11 17:43:53.722430        x2: 0.32    y2: 0.48    z2: -0.832
time: 2021-03-11 17:43:54.113101        x1: -0.576    y1: 0.112    z1: -0.832
time: 2021-03-11 17:43:54.113101        x2: 0.336    y2: 0.48    z2: -0.848
time: 2021-03-11 17:43:54.503065        x1: -0.592    y1: 0.112    z1: -0.832
time: 2021-03-11 17:43:54.503065        x2: 0.32    y2: 0.48    z2: -0.848
time: 2021-03-11 17:43:54.893121        x1: -0.576    y1: 0.112    z1: -0.848
time: 2021-03-11 17:43:54.893121        x2: 0.32    y2: 0.48    z2: -0.848
time: 2021-03-11 17:43:55.234083        x1: -0.576    y1: 0.112    z1: -0.832
time: 2021-03-11 17:43:55.234083        x2: 0.304    y2: 0.48    z2: -0.848
time: 2021-03-11 17:43:55.672234        x1: -0.576    y1: 0.112    z1: -0.832
time: 2021-03-11 17:43:55.672234        x2: 0.32    y2: 0.48    z2: -0.848
time: 2021-03-11 17:43:55.964651        x1: -0.576    y1: 0.112    z1: -0.832
